Project Name,Project Amount,Project Platform,Interest Rate,Project Status,Project Siren,Project Duration,Project Due Date,Project Type,Project Periodicity,Note Plateforme,Project Comment
Fendeille - Saint Papoul,110000.0,enerfip,5.0,En cours,831248430,36,13/07/2021,amortizing,monthly,,coming
MGK Menuiseries,15000.0,lendix,11.0,Clos,903552313,24,15/06/2023,amortizing,monthly,C-,reimbursing
Kel Fitness,200000.0,lendix,8.4,Clos,827496522,60,12/06/2023,amortizing,monthly,B,reimbursing
EARL Benoit Le Joubioux,32008.0,pretup,9.75,Clos,385262266,36,03/06/2023,amortizing,monthly,C+,reimbursing
EGAMI CREATION,60019.0,pretup,9.25,Clos,504420290,24,03/06/2023,amortizing,monthly,B-,reimbursing
Jigogne,15000.0,lendix,11.0,Clos,892865239,24,12/06/2023,amortizing,monthly,C-,reimbursing
Dency Nederland,157000.0,lendix,7.5,Clos,55087558,24,08/06/2023,amortizing,monthly,B,reimbursing
Dmissi Electro,730000.0,lendix,8.3,Clos,34202817,48,08/06/2023,amortizing,monthly,B,reimbursing
Aca Groothandel,135000.0,lendix,7.9,Clos,32144297,60,08/06/2023,amortizing,monthly,C,reimbursing
PHARMACIE SANTE BIEN ETRE,100015.0,pretup,9.25,Clos,751081795,36,02/06/2023,amortizing,monthly,B+,reimbursing
CF Feigères,15000.0,lendix,11.0,Clos,904670395,24,31/05/2023,amortizing,monthly,C-,reimbursing
Your Dream School,95000.0,lendix,9.3,Clos,840726475,60,31/05/2023,amortizing,monthly,C,reimbursing
Momsorganic,203000.0,lendix,7.9,Clos,68276656,60,31/05/2023,amortizing,monthly,C,reimbursing
Mokaco,140000.0,lendix,7.6,Clos,823518873,36,31/05/2023,amortizing,monthly,B,reimbursing
KTB Ferme,25000.0,lendix,9.4,Clos,913256616,24,31/05/2023,amortizing,monthly,C-,reimbursing
SAS PONEUV,53018.0,pretup,10.25,Clos,913490868,12,27/05/2023,amortizing,monthly,C+,reimbursing
OXWORK,53008.0,pretup,9.5,Clos,531173615,24,30/05/2023,amortizing,monthly,C-,reimbursing
SAS AX2LAN ,70017.0,pretup,9.5,Clos,801982851,36,26/05/2023,amortizing,monthly,B-,reimbursing
Firma A. Broekhuizen En Zonen,267000.0,lendix,7.4,Clos,31025114,60,31/05/2023,amortizing,monthly,B,reimbursing
Astove Conseil,25000.0,lendix,8.9,Clos,894054170,24,31/05/2023,amortizing,monthly,C-,reimbursing
GRIMC,33008.0,pretup,9.5,Clos,921822912,24,25/05/2023,amortizing,monthly,C+,reimbursing
Steinkis Group #3,200000.0,lendix,7.3,Clos,443164736,24,31/05/2023,amortizing,monthly,B,reimbursing
Ma Formation,15000.0,lendix,10.5,Clos,848913240,24,31/05/2023,amortizing,monthly,C-,reimbursing
AK Nutrition,30000.0,lendix,7.9,Clos,891409898,24,31/05/2023,amortizing,monthly,C-,reimbursing
Tympro Hearing Protection,340000.0,lendix,7.3,Clos,20111001,60,29/05/2023,amortizing,monthly,B,reimbursing
Groupe Axtom,2000000.0,lendix,7.5,Clos,830407763,36,31/05/2023,amortizing,monthly,B+,reimbursing
Club Deal,525000.0,wesharebonds,10.0,Clos,,8,20/05/2023,amortizing,monthly,,reimbursing
Pure Fitness Concept Iberia,105000.0,lendix,11.2,Clos,B72168677,36,27/05/2023,amortizing,monthly,C,reimbursing
Magnum Telecom,105000.0,lendix,11.5,Clos,B98069180,48,29/05/2023,amortizing,monthly,C,reimbursing
Kinderdagverblijf Pippi,257500.0,lendix,8.9,Clos,77737458,60,24/05/2023,amortizing,monthly,B,reimbursing
Edra PH,320000.0,lendix,7.3,Clos,61980897,36,24/05/2023,amortizing,monthly,C,reimbursing
Second Window 2010,210170.0,lendix,8.6,Clos,B85872109,36,22/05/2023,amortizing,monthly,B,reimbursing
Epagny Metz-Tessy - Opération route des Machurettes,825000.0,wesharebonds,9.0,Clos,951553940,18,16/05/2023,amortizing,monthly,,reimbursing
G FINANCE,250000.0,pretup,9.25,Clos,419890215,24,23/05/2023,amortizing,monthly,B-,reimbursing
ADV Invest,215005.0,pretup,10.0,Clos,797947439,12,18/05/2023,amortizing,monthly,B-,reimbursing
SAS SINCLAIR,50015.0,pretup,9.75,Clos,882089352,36,17/05/2023,amortizing,monthly,C+,reimbursing
ACCSA'TECH,60009.0,pretup,9.5,Clos,528115181,24,17/05/2023,amortizing,monthly,C+,reimbursing
Studio Meta,100000.0,lendix,7.6,Clos,518084512,36,24/05/2023,amortizing,monthly,B,reimbursing
Logi-App,320000.0,lendix,7.5,Clos,65088263,60,22/05/2023,amortizing,monthly,C,reimbursing
Coutume,90000.0,lendix,9.0,Clos,838909588,48,24/05/2023,amortizing,monthly,C,reimbursing
Financement de permis de construire lot 7,126000.0,lesentrepreteurs,9.5,Clos,904488079,18,31/05/2023,amortizing,monthly,A,reimbursing
La Tour-de-Salvagny - Opération La Closerie,380000.0,wesharebonds,9.0,Clos,898793435,18,13/05/2023,amortizing,monthly,,reimbursing
SELARL Pharmacie Abitbol,100000.0,lendix,7.9,Clos,514203819,48,22/05/2023,amortizing,monthly,B,reimbursing
National Delivery Express,15000.0,lendix,8.9,Clos,899114334,24,22/05/2023,amortizing,monthly,C-,reimbursing
Yummy Dutch,320000.0,lendix,7.3,Clos,88725677,36,18/05/2023,amortizing,monthly,C,reimbursing
Opération de portage foncier d'un hôtel Groupe EDEN,610000.0,lesentrepreteurs,10.0,Clos,948754262,21,16/05/2023,amortizing,monthly,B,reimbursing
Yopifauna,52000.0,lendix,9.7,Clos,B60776788,36,17/05/2023,amortizing,monthly,B,reimbursing
Clinique d'ostéopathie STAF,30000.0,pretup,9.25,Clos,450904883,24,11/05/2023,amortizing,monthly,B-,reimbursing
ALDG,52000.0,lendix,7.9,Clos,839014966,48,18/05/2023,amortizing,monthly,B,reimbursing
Vyootrip Solutions,53000.0,lendix,11.2,Clos,B23801467,36,14/05/2023,amortizing,monthly,C,reimbursing
Flex Lasbedrijf,610000.0,lendix,7.8,Clos,69305862,72,12/05/2023,amortizing,monthly,C,reimbursing
Al Porto,32500.0,lendix,8.5,Clos,87324407,48,12/05/2023,amortizing,monthly,B,reimbursing
Opération de promotion située route de Rieumes à Bérat,500000.0,lesentrepreteurs,10.0,Clos,902902154,12,25/05/2023,amortizing,monthly,A,reimbursing
Promotion immobilière résidence Rose Alamanda à Saint-André,2065000.0,lesentrepreteurs,7.0,Clos,887739985,36,16/05/2023,amortizing,monthly,B,reimbursing
Refinancement de factures commerciales Folhomee lot 26,49160.0,lesentrepreteurs,7.0,Clos,825211428,12,04/05/2023,amortizing,monthly,C,reimbursing
Silver ENR,76000.0,lendopolis,5.0,Clos,822740577,18,10/05/2023,amortizing,monthly,,reimbursing
Silver ENR,51000.0,lendopolis,5.0,Clos,822740577,18,10/05/2023,amortizing,monthly,,reimbursing
Silver ENR,37000.0,lendopolis,5.0,Clos,822740577,18,10/05/2023,amortizing,monthly,,reimbursing
Silver ENR,170000.0,lendopolis,5.0,Clos,822740577,18,22/05/2023,amortizing,monthly,,reimbursing
Silver ENR,93000.0,lendopolis,5.0,Clos,822740577,18,12/05/2023,amortizing,monthly,,reimbursing
ED1,77000.0,lendopolis,5.0,Clos,825303720,18,10/05/2023,amortizing,monthly,,reimbursing
ED1,80000.0,lendopolis,5.0,Clos,825303720,18,24/05/2023,amortizing,monthly,,reimbursing
ED1,93000.0,lendopolis,5.0,Clos,825303720,18,18/05/2023,amortizing,monthly,,reimbursing
ED1,102000.0,lendopolis,5.0,Clos,825303720,18,02/05/2023,amortizing,monthly,,reimbursing
Atelier Polimoules Normandie,60000.0,lendix,7.0,Clos,532549490,36,09/05/2023,amortizing,monthly,B,reimbursing
Dfg-Smart,15000.0,lendix,8.5,Clos,02646210993,24,10/05/2023,amortizing,monthly,C-,reimbursing
Progiss #2,200000.0,lendix,7.6,Clos,499019776,36,30/04/2023,amortizing,monthly,B,reimbursing
Montopoto,200000.0,lendix,8.2,Clos,752045856,60,30/04/2023,amortizing,monthly,B,reimbursing
Vendredi,25000.0,lendix,8.9,Clos,909690000,24,30/04/2023,amortizing,monthly,C-,reimbursing
ENERGIA ELECTRICA EFICIENTE,105000.0,lendix,11.2,Clos,B98297286,36,30/04/2023,amortizing,monthly,C,reimbursing
Meca Sport #2,150000.0,lendix,8.7,Clos,435160544,36,30/04/2023,amortizing,monthly,C,reimbursing
Insidehome Accommodations,52000.0,lendix,10.9,Clos,B47791637,24,30/04/2023,amortizing,monthly,C,reimbursing
Hu Horlogerie #6,800000.0,lendix,7.0,Clos,808336754,24,30/04/2023,amortizing,monthly,B+,reimbursing
Fermi Bohigas,103780.0,lendix,11.2,Clos,A58057563,36,01/05/2023,amortizing,monthly,C,reimbursing
Morgan En Mees Amsterdam,525000.0,lendix,7.5,Clos,59839384,60,30/04/2023,amortizing,monthly,B,reimbursing
Satebestellen.nl,255000.0,lendix,7.2,Clos,60553278,60,30/04/2023,amortizing,monthly,B,reimbursing
DENTALTECH,26017.0,pretup,9.25,Clos,352124135,24,26/04/2023,amortizing,monthly,B-,reimbursing
"Paris 8 et 11, Pantin - Pool d'opérations",600000.0,wesharebonds,8.75,Clos,981192558,18,24/04/2023,amortizing,monthly,,reimbursing
Saint-Cyr-sur-Mer - Opération rue du Général Onofri,670000.0,wesharebonds,9.0,Clos,949834253,12,22/04/2023,amortizing,monthly,,reimbursing
Club Deal,260000.0,wesharebonds,12.0,Clos,,12,22/04/2023,amortizing,monthly,,reimbursing
SchoneVloeren.nl,155000.0,lendix,9.7,Clos,75104458,60,28/04/2023,amortizing,monthly,C,reimbursing
Opération de marchand de biens rue de la Libération à Gaillard,275000.0,lesentrepreteurs,10.5,Clos,884811258,18,04/05/2023,amortizing,monthly,B,reimbursing
Club Deal,705000.0,wesharebonds,8.0,Clos,,48,20/04/2023,amortizing,monthly,,reimbursing
Financement du stock S2RI lot 11,50000.0,lesentrepreteurs,8.0,Clos,902932359,12,26/04/2023,amortizing,monthly,D,reimbursing
Energies de Loire 3,3000000.0,enerfip,7.0,Clos,884262353,36,19/05/2023,amortizing,monthly,,reimbursing
Informatica Q,105000.0,lendix,10.9,Clos,B78795499,24,27/04/2023,amortizing,monthly,C,reimbursing
THEORY INVEST,215000.0,pretup,10.0,Clos,907710487,18,21/04/2023,amortizing,monthly,B-,reimbursing
Financement du stock S2RI lot 10,50000.0,lesentrepreteurs,8.0,Clos,902932359,12,26/04/2023,amortizing,monthly,D,reimbursing
Azot,30000.0,lendix,7.9,Clos,894762657,24,28/04/2023,amortizing,monthly,C-,reimbursing
Ranger Services,25000.0,lendix,8.9,Clos,903416832,24,28/04/2023,amortizing,monthly,C-,reimbursing
SYS Project,20000.0,lendix,8.9,Clos,911449676,24,28/04/2023,amortizing,monthly,C-,reimbursing
SSPH,15000.0,lendix,8.9,Clos,912305778,24,28/04/2023,amortizing,monthly,C-,reimbursing
Vastré Bouw & Timmerwerken,135000.0,lendix,8.8,Clos,18068613,60,26/04/2023,amortizing,monthly,B,reimbursing
Com'Municate,150000.0,lendix,8.7,Clos,498494699,36,28/04/2023,amortizing,monthly,C,reimbursing
JTM Renov'Isol,200000.0,lendix,7.5,Clos,527543292,60,27/04/2023,amortizing,monthly,B,reimbursing
Pharmacie Ferber,80000.0,lendix,7.6,Clos,448405431,36,27/04/2023,amortizing,monthly,B,reimbursing
LC Company #2,30000.0,lendix,8.7,Clos,838163061,36,26/04/2023,amortizing,monthly,C,reimbursing
Verspaandonk Project,62500.0,lendix,9.0,Clos,62051652,60,24/04/2023,amortizing,monthly,B,reimbursing
Project Services & Deliveries #3,52000.0,lendix,8.4,Clos,29042687,60,24/04/2023,amortizing,monthly,B,reimbursing
Opération de promotion à usage commercial rue de Bordeaux à Bazet,450000.0,lesentrepreteurs,10.0,Clos,811132307,18,30/04/2023,amortizing,monthly,A,reimbursing
Martigues - Opération avenue des Cigales,620000.0,wesharebonds,9.0,Clos,892037045,18,14/04/2023,amortizing,monthly,,reimbursing
Lotissement de 53 lots situés Le Conardel à Saint-Benoit tranche 4,500000.0,lesentrepreteurs,8.0,Clos,912933710,15,30/04/2023,amortizing,monthly,A,reimbursing
Home Plus #3,200000.0,lendix,7.6,Clos,538786336,36,21/04/2023,amortizing,monthly,B,reimbursing
Partnerys,25000.0,lendix,8.9,Clos,879256402,24,21/04/2023,amortizing,monthly,C-,reimbursing
SARL DE LA FERME EQUESTRE DU PIROUE,44015.0,pretup,9.75,Clos,342951803,48,13/04/2023,amortizing,monthly,B-,reimbursing
FLEURET,90000.0,pretup,9.0,Clos,414840082,12,13/04/2023,amortizing,monthly,B-,reimbursing
DECIDELA,55019.0,pretup,9.75,Clos,503954711,36,12/04/2023,amortizing,monthly,C+,reimbursing
Mk Consulting,15000.0,lendix,7.9,Clos,894788629,24,18/04/2023,amortizing,monthly,C-,reimbursing
Refinancement de factures commerciales Folhomee lot 25,47500.0,lesentrepreteurs,7.0,Clos,825211428,12,17/04/2023,amortizing,monthly,C,reimbursing
Eléments Croissance 4,2000000.0,enerfip,6.0,Clos,908281058,12,11/05/2023,amortizing,monthly,,reimbursing
Horizon Biogaz 2,3300000.0,lendopolis,7.0,Clos,949182281,60,30/05/2023,amortizing,monthly,,reimbursing
Grues Berga,106400.0,lendix,10.0,Clos,A60701919,48,18/04/2023,amortizing,monthly,B,reimbursing
PASCAL ET BEATRIX DECORATION,150007.0,pretup,8.5,Clos,341699676,12,06/04/2023,amortizing,monthly,B-,reimbursing
Ouverture d'un restaurant Chicken Street à Saint-Denis de la Réunion,280000.0,lesentrepreteurs,10.0,Clos,949534176,12,30/04/2023,amortizing,monthly,A,reimbursing
Mypegase,25000.0,lendix,8.9,Clos,822481859,24,13/04/2023,amortizing,monthly,C-,reimbursing
Opdata Consulting,25000.0,lendix,8.9,Clos,883561672,24,13/04/2023,amortizing,monthly,C-,reimbursing
LTZ Bâtiment,20000.0,lendix,8.9,Clos,909731747,24,13/04/2023,amortizing,monthly,C-,reimbursing
Laketricity,3000000.0,enerfip,7.0,Clos,901387555,18,30/05/2023,amortizing,monthly,,reimbursing
Les Vergers De Fouillas,2000000.0,lendopolis,5.25,Clos,902105816,18,22/04/2023,amortizing,monthly,,reimbursing
Hyppe,330000.0,lendix,7.5,Clos,32128366,60,10/04/2023,amortizing,monthly,B,reimbursing
